"overlap","area_a_gaps","area_b_gaps","area_change","CHM1_mean","CHM2_mean","gap_volume_a_gaps","gap_volume_b_gaps","gap_volume_change","height_growth","Plot_id"
"Intact canopy",0,0,0,37.3418439427116,36.9343264498186,0,0,0,-0.407517492893042,"P_1"
"New gap",0,129,129,29.5935739916425,5.81845494943071,0,750.580688476562,750.580688476562,-23.7751190422117,"P_1"
"Persistent gap",12,12,0,9.14999643961588,8.10583241780599,109.799957275391,97.2699890136719,-12.5299682617188,-1.04416402180989,"P_1"
"Recovered gap",87,0,-87,7.72448870779454,14.1032230771821,672.030517578125,0,-672.030517578125,6.37873436938757,"P_1"
"Intact canopy",0,0,0,42.9944298004797,42.2096563282856,0,0,0,-0.784773472194175,"P_2"
"New gap",0,278,278,35.132054829769,5.38097656030449,0,1495.91148376465,1495.91148376465,-29.7510782694645,"P_2"
"Persistent gap",5,5,0,7.20001220703125,5.052001953125,36.0000610351562,25.260009765625,-10.7400512695312,-2.14801025390625,"P_2"
"Recovered gap",210,0,-210,6.33172076997303,16.7592426845006,1329.66136169434,0,-1329.66136169434,10.4275219145275,"P_2"
"Intact canopy",0,0,0,37.6817150899921,37.5813803856467,0,0,0,-0.100334704345435,"P_3"
"New gap",0,214,214,17.7181835709331,5.70925746454257,0,1221.78109741211,1221.78109741211,-12.0089261063906,"P_3"
"Persistent gap",184,184,0,5.04076625989831,6.32810385330864,927.500991821289,1164.37110900879,236.8701171875,1.28733759341032,"P_3"
"Recovered gap",308,0,-308,5.54409631506189,20.9814993623015,1707.58166503906,0,-1707.58166503906,15.4374030472396,"P_3"
"Intact canopy",0,0,0,39.1574480829961,38.5366011966884,0,0,0,-0.620846886307746,"P_4"
"New gap",0,667,667,26.8979213548743,6.2137388947128,0,4144.56384277344,4144.56384277344,-20.6841824601615,"P_4"
"Persistent gap",657,657,0,5.21974658240283,4.74269933134455,3429.37350463866,3115.95346069337,-313.420043945294,-0.477047251058287,"P_4"
"Recovered gap",422,0,-422,6.20590571543617,18.8719246308386,2618.89221191406,0,-2618.89221191406,12.6660189154024,"P_4"
"Intact canopy",0,0,0,34.6850636553113,35.1066933738099,0,0,0,0.421629718498572,"P_5"
"New gap",0,567,567,24.7095826971468,6.65215781882957,0,3771.77348327637,3771.77348327637,-18.0574248783172,"P_5"
"Persistent gap",348,348,0,5.90124257405599,5.13161477275278,2053.63241577148,1785.80194091797,-267.830474853516,-0.769627801303206,"P_5"
"Recovered gap",231,0,-231,6.98251673050257,18.1570631415297,1612.96136474609,0,-1612.96136474609,11.1745464110271,"P_5"
"Intact canopy",0,0,0,38.7473008702474,40.1016610730633,0,0,0,1.35436020281595,"P_6"
"New gap",0,126,126,19.6417502751426,7.26326061430432,0,915.170837402344,915.170837402344,-12.3784896608383,"P_6"
"Persistent gap",37,37,0,6.34405765017948,7.67163168417441,234.730133056641,283.850372314453,49.1202392578125,1.32757403399493,"P_6"
"Recovered gap",104,0,-104,6.35702485304612,16.1901033841647,661.130584716797,0,-661.130584716797,9.83307853111854,"P_6"
"Intact canopy",0,0,0,36.5552303786912,37.2452996417596,0,0,0,0.690069263068352,"P_7"
"New gap",0,78,78,18.8734682523287,7.03423720139724,0,548.670501708984,548.670501708984,-11.8392310509315,"P_7"
"Persistent gap",154,154,0,7.1474754036247,8.10409793606052,1100.7112121582,1248.03108215332,147.319869995117,0.956622532435826,"P_7"
"Recovered gap",536,0,-536,6.5264049359222,16.3296516760072,3498.1530456543,0,-3498.1530456543,9.80324674008496,"P_7"
"Intact canopy",0,0,0,39.1159356572649,36.7724739281719,0,0,0,-2.34346172909306,"P_8"
"New gap",0,1034,1034,23.9357022962441,6.46647573209131,0,6686.33590698241,6686.33590698241,-17.4692265641528,"P_8"
"Persistent gap",882,882,0,6.39294321142357,6.22262490201158,5638.57591247559,5488.35516357421,-150.220748901374,-0.170318309411989,"P_8"
"Recovered gap",455,0,-455,7.15141316508199,18.1221378200657,3253.8929901123,0,-3253.8929901123,10.9707246549837,"P_8"
"Intact canopy",0,0,0,41.5903289034044,43.8769653008071,0,0,0,2.28663639740277,"P_9"
"New gap",0,344,344,20.4691631405853,6.66102271856264,0,2291.39181518555,2291.39181518555,-13.8081404220226,"P_9"
"Persistent gap",777,777,0,4.91659477165153,5.26257968347812,3820.19413757324,4089.0244140625,268.83027648926,0.345984911826589,"P_9"
"Recovered gap",376,0,-376,5.67226576297841,20.6919467195551,2132.77192687988,0,-2132.77192687988,15.0196809565767,"P_9"
"Intact canopy",0,0,0,31.7630427807806,33.5577226220826,0,0,0,1.79467984130196,"P_10"
"New gap",0,379,379,21.2670240578362,5.78048106170896,0,2190.8023223877,2190.8023223877,-15.4865429961272,"P_10"
"Persistent gap",396,396,0,5.82452604505751,6.1627337523181,2306.51231384277,2440.44256591797,133.930252075195,0.338207707260595,"P_10"
"Recovered gap",404,0,-404,6.66683688022123,20.6848830799065,2693.40209960938,0,-2693.40209960938,14.0180461996853,"P_10"
"Intact canopy",0,0,0,35.0029915395323,34.0259025034361,0,0,0,-0.977089036096167,"P_11"
"New gap",0,335,335,22.4583944292211,5.85543896119986,0,1961.57205200195,1961.57205200195,-16.6029554680212,"P_11"
"Persistent gap",73,73,0,7.77110060600385,5.71726550794628,567.290344238281,417.360382080078,-149.929962158203,-2.05383509805758,"P_11"
"Recovered gap",327,0,-327,6.41581656079773,18.7568255783221,2097.97201538086,0,-2097.97201538086,12.3410090175244,"P_11"
"Intact canopy",0,0,0,38.9907369149699,37.2449881716891,0,0,0,-1.7457487432808,"P_12"
"New gap",0,484,484,28.3364730708855,6.17967533080046,0,2990.96286010742,2990.96286010742,-22.156797740085,"P_12"
"Persistent gap",262,262,0,6.29477674178495,6.23859457933266,1649.23150634766,1634.51177978516,-14.7197265624998,-0.0561821624522896,"P_12"
"Recovered gap",374,0,-374,4.16150351131663,16.1292839662276,1556.40231323242,0,-1556.40231323242,11.967780454911,"P_12"
"Intact canopy",0,0,0,39.6507798413989,40.3940100549017,0,0,0,0.743230213502827,"P_13"
"New gap",0,113,113,15.841865472034,6.45000626555586,0,728.850708007812,728.850708007812,-9.39185920647815,"P_13"
