"Plot_id","Site","Persistant_gap_area_2013","Recovered_gap_area_2013","New_gap_area_2020","Persistant_gap_area_2020","Intact_canopy_TCH_2013","New_gap_TCH_2013","Persistant_gap_TCH_2013","Recovered_gap_TCH_2013","Intact_canopy_TCH_2020","New_gap_TCH_2020","Persistant_gap_TCH_2020","Recovered_gap_TCH_2020","Persistant_gap_volume_2013","Recovered_gap_volume_2013","New_gap_volume_2020","Persistant_gap_volume_2020","Persistant_gap_volume_change","Intact canopy_height_growth","New gap_height_growth","Persistent gap_height_growth","Recovered gap_height_growth","Existing_gap_area_2013","Existing_gap_area_2020","Existing_gap_volume_2013","Existing_gap_volume_2020","Existing_proportion_closed","Existing_proportion_closed_perc"
"45","SBE",441.5,574,551.25,441.5,28.0571542537522,20.3744445247174,5.19676552380467,6.06131996261118,29.0890490739869,6.16465303243693,5.71768861556783,18.0141639244265,2294.37197875976,3479.19765853882,3398.26498413086,2524.3595237732,229.987545013436,1.0318948202347,-14.2097914922805,0.520923091763161,11.9528439618154,1015.5,441.5,5773.56963729858,2524.3595237732,0.562773174594577,56.2773174594577
"76","SBE",214.5,220.25,397.25,214.5,30.062456593893,20.4200734834089,5.20059879898747,6.24303523744546,32.0064477813336,5.76471167168879,5.92735827608264,21.5949076242263,1115.52844238281,1375.02851104736,2290.03171157837,1271.41835021973,155.889907836913,1.94399118744057,-14.6553618117201,0.726759477095167,15.3518723867808,434.75,214.5,2490.55695343017,1271.41835021973,0.489504406446661,48.9504406446661
"64","SBE",214,425.75,69.5,214,31.2372279598091,21.4222726067193,5.77564991745994,6.58827995259973,32.6805168830111,7.01885514293643,6.26241345271886,18.5029893965842,1235.98908233643,2804.96018981934,487.810432434082,1340.15647888184,104.16739654541,1.44328892320199,-14.4034174637829,0.486763535258924,11.9147094439844,639.75,214,4040.94927215577,1340.15647888184,0.668356025126024,66.8356025126024
"5","SBE",334.75,716.75,146.75,334.75,28.5090917158566,22.2382322243166,4.92107228969264,6.89525734908413,31.7470788979786,6.34078789732119,6.2725137905722,17.0382496754301,1647.32894897461,4942.17570495605,930.510623931885,2099.72399139404,452.395042419435,3.23798718212195,-15.8974443269954,1.35144150087957,10.1429923263459,1051.5,334.75,6589.50465393066,2099.72399139404,0.681353288043958,68.1353288043958
"9","SBE",492,755.25,508.75,492,27.5482990650676,22.0740877718539,5.89547709333218,6.88943527913654,29.2127813791351,6.19543971406154,6.83732670109446,17.2870057253442,2900.57472991943,5203.24599456787,3151.92995452881,3363.96473693848,463.390007019043,1.66448231406752,-15.8786480577923,0.941849607762282,10.3975704462076,1247.25,492,8103.8207244873,3363.96473693848,0.584891515828627,58.4891515828627
"20","SBE",467,228.75,721.25,467,27.6588543170624,21.7584594726562,5.73940575250466,6.44600538243362,28.1713895560981,6.06689630306779,5.7624301951243,16.9573610066065,2680.30248641968,1474.52373123169,4375.74895858764,2691.05490112305,10.7524147033691,0.51253523903566,-15.6915631695884,0.0230244426196347,10.5113556241729,695.75,467,4154.82621765137,2691.05490112305,0.35230626742212,35.230626742212
"115","SBE",1084,799,442.25,1084,29.0601582350795,18.04502418393,5.43556936904514,6.36829290760026,32.6290840914624,6.52356561689878,6.33779022174569,18.1923665749713,5892.15719604494,5088.2660331726,2885.04689407349,6870.16460037233,978.007404327394,3.56892585638288,-11.5214585670312,0.902220852700549,11.8240736673711,1883,1084,10980.4232292175,6870.16460037233,0.374326065857673,37.4326065857673
"106","SBE",654.25,553.75,513.75,654.25,29.1630711544348,20.3217411458928,5.60945367284708,6.56216649729296,31.4565214243238,6.58191132557073,5.88802428896025,19.0916877350474,3669.9850654602,3633.79969787598,3381.45694351196,3852.23989105225,182.254825592045,2.29345026988907,-13.739829820322,0.278570616113176,12.5295212377544,1208,654.25,7303.78476333618,3852.23989105225,0.472569357411808,47.2569357411808
"100","SBE",719.25,804.5,547.25,719.25,28.3613313669612,19.1518130940681,6.12482195427569,7.01031197784405,30.0633103115356,6.61740465020414,6.27727557073916,17.6997557711794,4405.27819061279,5639.79598617554,3621.37469482422,4514.93045425414,109.652263641348,1.70197894457437,-12.534408443864,0.152453616463466,10.6894437933353,1523.75,719.25,10045.0741767883,4514.93045425414,0.550532890569686,55.0532890569686
"66","SBE",345,418.75,348.5,345,31.9693377217655,22.6232043119893,4.95453380640001,5.59694183805096,34.7812673841735,5.69572211201256,5.46060590882232,21.4045360690444,1709.314163208,2343.71939468384,1984.95915603638,1883.9090385437,174.594875335697,2.81192966240807,-16.9274821999767,0.506072102422308,15.8075942309935,763.75,345,4053.03355789184,1883.9090385437,0.535185432927034,53.5185432927034
